23,48,52,2,75,61,68,47,96,43
13,43,86,83,50,62,37,94,93,76
21,11,38,22,18,36,91,61,55,26
70,97,74,33,78,16,99,18,88,94
3,93,38,68,97,86,78,30,5,40
94,56,75,67,38,60,36,49,34,40
10,39,84,86,58,80,94,83,37,51
92,78,35,59,72,18,32,39,14,70
54,73,67,87,22,0,53,31,13,34
35,32,77,13,48,51,23,80,99,70
65,64,48,41,53,47,57,4,85,39
29,9,10,58,35,16,24,81,17,18
52,75,36,2,89,92,88,18,48,32
98,22,32,79,8,3,58,86,81,24
85,19,45,46,48,25,88,83,1,0
70,43,86,66,89,78,71,81,96,23
19,71,14,96,26,95,32,25,39,86
11,33,93,30,2,22,3,50,67,61
67,25,24,70,78,27,23,48,62,21
94,79,93,71,57,61,67,38,58,81
74,92,81,79,27,87,95,45,32,62
12,33,18,2,22,93,42,65,28,57
8,99,24,27,43,30,83,0,12,25
83,72,41,48,14,94,44,3,76,90
1,86,52,56,4,12,57,84,43,38
55,63,62,80,17,22,23,9,32,47
