1, 	2.370648, 	5.850000
2, 	2.437058, 	8.830000
3, 	2.848480, 	8.920000
4, 	6.460796, 	8.920000
5, 	22.224535, 	8.920000
6, 	74.858120, 	8.920000
7, 	193.566705, 	8.920000
8, 	723.340785, 	8.920000
9, 	2212.184047, 	8.920000
10, 	7546.745543, 	8.920000
11, 	21062.481743, 	10.090000
12, 	86340.486076, 	8.920000
13, 	82981.010401, 	9.580000
14, 	59590.853576, 	10.099999
15, 	265055.848653, 	8.120000
16, 	31153.747390, 	4.080000
17, 	2195432.997813, 	8.920000
18, 	20662970.843949, 	12.820000
19, 	nan, 	9.820000
20, 	nan, 	9.800000
21, 	nan, 	9.800000
22, 	nan, 	9.800000
23, 	nan, 	9.800000
24, 	nan, 	9.800000
25, 	nan, 	9.800000
26, 	nan, 	9.800000
27, 	nan, 	9.800000
28, 	nan, 	9.800000
29, 	nan, 	9.800000
30, 	nan, 	9.800000
31, 	nan, 	9.800000
32, 	nan, 	9.800000
33, 	nan, 	9.800000
34, 	nan, 	9.800000
35, 	nan, 	9.800000
36, 	nan, 	9.800000
37, 	nan, 	9.800000
38, 	nan, 	9.800000
39, 	nan, 	9.800000
40, 	nan, 	9.800000
41, 	nan, 	9.800000
42, 	nan, 	9.800000
43, 	nan, 	9.800000
44, 	nan, 	9.800000
45, 	nan, 	9.800000
46, 	nan, 	9.800000
47, 	nan, 	9.800000
48, 	nan, 	9.800000
49, 	nan, 	9.800000
50, 	nan, 	9.800000
