66,32,25,6,95,16,30,35,65,91
62,47,81,76,71,35,82,74,48,61
4,27,22,29,95,15,3,91,98,72
23,39,80,84,78,51,93,10,38,62
88,85,77,92,19,68,11,72,36,59
48,54,9,12,50,97,40,83,20,77
0,47,93,60,89,34,73,62,12,76
14,48,64,9,73,53,79,49,51,57
98,32,61,60,15,11,96,85,50,83
53,65,41,33,5,14,4,11,9,76
78,23,85,0,21,59,32,54,66,52
77,64,81,57,75,3,98,5,1,27
59,6,9,73,93,2,7,62,55,97
76,34,15,50,27,78,24,35,51,39
5,11,12,56,53,73,38,75,92,65
33,63,10,35,56,90,88,75,13,48
86,16,39,70,30,67,50,57,40,77
94,63,9,46,91,88,38,27,65,50
95,2,72,58,18,45,1,67,21,26
71,51,43,86,92,96,85,35,1,65
96,85,1,83,98,94,24,45,5,66
96,20,36,9,8,33,86,92,25,27
40,90,6,91,33,3,48,30,94,98
88,14,22,40,78,43,3,57,9,25
2,42,45,5,95,92,72,93,3,82
87,37,78,65,71,17,56,82,89,68
23,16,43,53,40,19,88,63,68,4
63,62,73,98,41,96,85,38,13,32
81,11,4,68,58,97,17,37,69,66
51,32,39,78,27,57,10,49,2,86
