18,20,81,36,52,61,98,25,10,22
18,20,27,6,95,16,32,36,66,91
18,20,69,91,96,70,88,0,24,79
18,20,81,76,71,37,82,74,49,62
18,20,4,29,77,24,2,87,48,82
18,20,23,29,95,14,3,91,98,72
18,20,53,66,67,96,17,25,8,59
18,20,80,84,78,51,93,10,39,62
18,20,89,86,23,8,84,65,9,82
18,20,79,92,21,70,11,74,38,61
18,20,50,55,42,97,80,65,69,61
18,20,9,12,51,97,42,83,22,77
18,20,0,49,2,89,75,13,63,50
18,20,93,60,89,35,73,62,11,76
18,20,41,72,83,90,76,78,94,38
18,20,64,9,73,53,79,49,51,57
18,20,88,93,98,11,99,7,40,4
18,20,60,88,15,11,48,96,57,93
18,20,89,50,70,32,79,6,96,33
18,20,5,39,60,61,45,47,27,46
18,20,80,42,66,40,96,44,71,57
18,20,15,10,4,64,65,79,38,97
18,20,81,79,52,14,91,2,55,15
18,20,60,5,93,90,75,59,86,51
18,20,60,10,59,81,48,9,72,76
18,20,2,91,56,84,81,51,98,8
18,20,83,97,87,48,98,75,30,10
18,20,40,15,25,69,52,31,92,83
18,20,96,49,21,95,91,75,5,89
18,20,19,57,46,52,63,58,78,65
18,20,2,98,70,58,27,30,68,63
18,20,93,54,58,86,34,35,6,73
18,20,75,22,47,21,39,46,7,83
18,20,11,63,92,56,93,23,42,69
18,20,15,61,6,97,42,31,22,98
18,20,41,12,13,52,25,92,83,38
18,20,58,6,14,87,46,98,71,38
18,20,60,1,53,58,7,94,14,82
18,20,32,40,24,83,49,74,54,82
18,20,76,92,94,97,81,7,12,63
18,20,26,31,43,13,54,41,25,55
18,20,47,28,78,83,91,93,54,27
18,20,97,26,22,19,93,54,1,62
18,20,46,51,78,88,13,2,16,21
18,20,6,14,26,3,1,64,91,40
18,20,50,94,0,92,47,74,36,7
18,20,12,47,81,34,25,44,5,68
18,20,95,77,53,46,35,3,90,83
18,20,42,68,95,59,34,71,73,5
18,20,21,44,55,31,72,50,60,51
