79,81,37,75,30,18,83,53,59,69
83,68,18,69,14,58,56,66,22,74
18,43,11,26,39,93,10,30,28,34
41,18,68,80,76,33,58,39,20,88
18,69,89,68,80,22,90,25,37,92
18,79,91,53,14,74,98,60,34,17
18,97,50,11,41,53,69,47,55,61
18,96,25,39,67,76,9,8,13,58
18,20,37,84,15,81,31,10,53,48
6,25,10,59,73,53,48,18,56,11
87,5,18,21,40,22,38,70,78,77
18,5,58,43,2,12,51,26,14,87
18,56,86,39,80,19,30,94,42,3
73,50,88,5,18,70,92,57,36,78
53,45,19,18,60,64,26,24,13,98
80,24,47,18,44,71,31,98,56,34
18,97,1,22,62,79,82,76,61,0
18,82,56,87,19,4,84,54,40,42
22,66,99,56,18,84,87,28,70,19
89,46,90,72,18,47,20,64,32,95
18,83,35,27,42,51,72,79,41,54
78,88,75,18,84,79,6,53,63,56
18,81,14,17,2,40,29,86,19,98
18,56,53,29,45,6,75,98,70,91
33,67,53,98,20,18,40,55,28,84
18,60,35,17,92,37,59,29,25,80
66,83,88,2,18,58,10,64,82,8
40,41,86,35,18,4,33,61,91,34
18,46,20,90,33,68,12,63,76,67
